Party Name,Samanupatik Votes
राष्ट्रिय स्वतन्त्र पार्टी,5030617
नेपाली कांग्रेस,1702446
नेकपा एमाले,1417843
नेपाली कम्युनिस्ट पार्टी,773701
श्रम संस्कृति पार्टी,359264
राष्ट्रिय प्रजातन्त्र पार्टी,326088
"जनता समाजवादी पार्टी, नेपाल",172917
राष्ट्रिय परिवर्तन पार्टी,166669
जनमत पार्टी,77826
"नागरिक उन्मुक्ति पार्टी, नेपाल",60815
नेपाल मजदुर किसान पार्टी,41983
"राष्ट्र निर्माण दल, नेपाल",38006
राष्ट्रिय जनमोर्चा,29276
"बहुजन एकता पार्टी, नेपाल",27857
नेपाल जनता संरक्षण पार्टी,27312
प्रगतिशील लोकतान्त्रिक पार्टी,23846
नेपाल कम्युनिस्ट पार्टी (माओवादी),23462
मंगोल नेशनल अर्गनाइजेसन,19900
सार्वभौम नागरिक पार्टी,14378
आम जनता पार्टी,12737
"राष्ट्रिय मुक्ति आन्दोलन, नेपाल",10106
संयुक्त नागरिक पार्टी,8570
स्वाभिमान पार्टी,7179
नेपाल जनता पार्टी,6962
राष्ट्रिय एकता दल,6814
राष्ट्रिय जनमुक्ति पार्टी,6697
नेकपा माले,5816
नेशनल रिपब्लिक नेपाल,5015
नेपालका लागि नेपाली पार्टी,4826
राष्ट्रिय गौरव पार्टी,4735
नेपाल कम्युनिष्ट पार्टी मार्क्सवादी (पुष्पलाल),4731
संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,4535
नेपाल कम्युनिष्ट पार्टी (संयुक्त),4323
"राष्ट्रिय ऊर्जाशील पार्टी, नेपाल",4237
"समावेशी समाजवादी पार्टी, नेपाल",4121
गतिशील लोकतान्त्रिक पार्टी,4014
नेपाल लोकतान्त्रिक पार्टी,3806
नेपाल मातृभूमि पार्टी,3092
राष्ट्रिय जनता पार्टी नेपाल,2799
राष्ट्रिय जनता पार्टी नेपाल,2779
जय मातृभूमि पार्टी,2683
बहुजन शक्ति पार्टी,2654
नेपाल जनमुक्ति पार्टी,2094
"प्रजातान्त्रिक पार्टी, नेपाल",2076
जन अधिकार पार्टी,1968
नेपाल सद्भावना पार्टी,1893
नेपाली कांग्रेस (बी.पी.),1692
पिपुल फर्स्ट पार्टी,1689
"नागरिक शक्ति, नेपाल",1651
नेपाली जनश्रमदान संस्कृति पार्टी,1511
नेपाली जनता दल,1378
समावेशी समाजवादी पार्टी,1304
"जनता लोकतान्त्रिक पार्टी, नेपाल",1241
सचेत नेपाली पार्टी,1082
जनप्रिय लोकतान्त्रिक पार्टी,896
"नागरिक सर्वोच्चता पार्टी, नेपाल",890
मितेरी पार्टी नेपाल,740
उन्‍नत लोकतन्त्र पार्टी,697
त्रिमूल नेपाल,645
