Constituency,Total Votes,Vote %,Total Casted Votes
achham1,82513,52,42906
achham2,82824,52,43068
arghakhanchi1,171652,55,94408
illam1,112320,54,60652
illam2,119489,59,70498
udayaur1,142804,56,79970
udayaur2,96122,48,46138
okhaldhunga1,122715,55,67493
kanchanpur1,101724,64,65103
kanchanpur2,109574,61,66840
kanchanpur3,103087,59,60821
kapilbstu1,147659,65,95978
kapilbstu2,130202,68,88537
kapilbstu3,118404,67,79330
kathmandu1,48489,59,28608
kathmandu10,83301,59,49147
kathmandu2,88708,64,56773
kathmandu3,64479,66,42556
kathmandu4,76141,65,49491
kathmandu5,78114,64,49992
kathmandu6,67759,62,42010
kathmandu7,67411,61,41120
kathmandu8,57811,60,34686
kathmandu9,78495,61,47881
kabrepalanchok1,161100,54,86994
kabrepalanchok2,165511,65,107582
kalikot1,84646,57,48248
kaski1,116878,61,71295
kaski2,84134,62,52163
kaski3,107560,60,64536
kailali1,108491,60,65094
kailali2,107757,57,61421
kailali3,109122,59,64381
kailali4,115143,57,65631
kailali5,110539,62,68534
khotang1,147120,47,69146
gulmi1,122186,59,72089
gulmi2,107363,56,60123
gorkha1,120525,52,62673
gorkha2,108533,51,55351
chitwan1,149621,68,101742
chitwan2,137152,67,91891
chitwan3,155309,65,100950
jajarkot1,107091,63,67467
jumla1,71739,65,46630
jhapa1,131067,67,87814
jhapa2,147522,65,95889
jhapa3,140857,67,94374
jhapa4,130712,64,83655
jhapa5,163379,64,104562
dadeldhura1,93403,56,52305
doti1,128399,50,64199
dolpa1,24115,78,18809
tanahu1,126882,54,68516
tanahu2,127515,54,68858
taplejung,90327,54,48776
terathum1,73137,57,41688
dang1,140001,58,81200
dang2,140965,59,83169
dang3,150720,61,91939
darchula1,92948,64,59486
dailekh1,79701,55,43835
dailekh2,81503,58,47271
dolkha1,170321,52,88566
dhankuta1,118425,59,69870
dhanusa1,126040,65,81926
dhanusa2,134826,65,87636
dhanusa3,125927,62,78074
dhanusa4,127778,68,86889
dhading1,136686,61,83378
dhading2,138594,52,72068
parasi1,123080,71,87386
parasi2,131077,71,93064
nawalpur1,137081,66,90473
nawalpur2,131445,65,85439
nuwakot1,123929,52,64443
nuwakot2,123939,55,68166
parbat1,125466,53,66496
parsa1,89638,65,58264
parsa2,95120,67,63730
parsa3,96542,71,68544
parsa4,95213,68,64744
panchthar1,143408,53,76006
palpa1,98383,60,59029
palpa2,109053,60,65431
pyuthan1,165406,55,90973
bajhang1,126903,50,63451
bardiya1,168034,64,107541
bardiya2,155232,60,93139
banke1,124727,62,77330
banke2,108290,69,74720
banke3,117354,65,76280
baglung1,98046,54,52944
baglung2,95335,53,50527
bajura1,87861,71,62381
bara1,123985,67,83069
bara2,113839,63,71718
bara3,113521,64,72653
bara4,114439,68,77818
baitadi1,156372,51,79749
bhaktapur1,107054,71,76008
bhaktapur2,98356,71,69832
bhojpur1,125766,50,62883
makwanpur1,158435,60,95061
makwanpur2,156899,57,89432
manang1,7000,71,4970
mahottari1,105646,66,69726
mahottari2,107594,60,64556
mahottari3,110436,59,65157
mahottari4,107606,63,67791
mugu1,36031,74,26662
mustang1,11328,66,7476
morang1,128545,60,77127
morang2,129184,64,82677
morang3,158057,64,101156
morang4,119255,67,79900
morang5,110177,72,79327
morang6,137832,67,92347
myagdi1,86397,57,49246
rasuwa1,41471,71,29444
ramechap1,187952,49,92096
rukum2,106660,57,60796
rukum1,34772,60,20863
rupendehi1,146824,68,99840
rupendehi2,135050,63,85081
rupendehi3,140035,70,98024
rupendehi4,116172,69,80158
rupendehi5,134442,66,88731
rolpa1,149597,46,68814
rautahat1,108726,65,70671
rautahat2,108872,67,72944
rautahat3,108699,71,77176
rautahat4,110314,67,73910
lamjung1,137124,60,82274
lalitpur1,77737,67,52083
lalitpur2,89082,64,57012
lalitpur3,102437,64,65559
sankhuwasabha1,119630,55,65796
saptari1,119043,66,78568
saptari2,105922,67,70967
saptari3,111871,67,74953
saptari4,109566,65,71217
sarlahi1,130871,61,79831
sarlahi2,125311,64,80199
sarlahi3,134412,63,84679
sarlahi4,121012,64,77447
salyan1,162449,53,86097
sindhupalchowk1,136985,53,72602
sindhupalchowk2,138013,59,81427
sindhuli1,110391,58,64026
sindhuli2,104628,55,57545
siraha1,111949,65,72766
siraha2,115760,66,76401
siraha3,119250,66,78705
siraha4,106686,65,69345
sunsari1,150393,55,82716
sunsari2,158910,63,100113
sunsari3,134302,73,98040
sunsari4,137340,63,86524
surkhet1,122902,64,78657
surkhet2,126041,62,78145
solukhumbu1,85515,49,41902
syangja1,130886,55,71987
syangja2,117930,59,69578
humla1,34372,75,25779
