ID,Constituency,name,party,votes,sex,age,Status
achham1,अछाम - १,भीमबहादुर रावल,नेपाली कम्युनिस्ट पार्टी,"२,५८८",पुरुष,७० वर्ष,Leading
achham1,अछाम - १,दिपक बहादुर साउंद,नेकपा एमाले,"२,३१७",पुरुष,४२ वर्ष,Counting Ongoing
achham1,अछाम - १,भरतकुमार स्वार,नेपाली कांग्रेस,"२,१२२",पुरुष,७० वर्ष,Counting Ongoing
achham1,अछाम - १,ओमप्रकाश रावल,राष्ट्रिय स्वतन्त्र पार्टी,२५३,पुरुष,२७ वर्ष,Counting Ongoing
achham1,अछाम - १,लोकेन्द्रबहादुर शाह,राष्ट्रिय प्रजातन्त्र पार्टी,५१,पुरुष,३९ वर्ष,Counting Ongoing
achham1,अछाम - १,सुरेन्द्र शाही,नेपाल मजदुर किसान पार्टी,0,पुरुष,२६ वर्ष,Not Started
achham1,अछाम - १,लोकेन्द्र बहादुर शाही,नेपाल कम्युनिस्ट पार्टी (माओवादी),0,पुरुष,४० वर्ष,Not Started
achham1,अछाम - १,भीमबहादुर कुँवर,स्वतन्त्र,0,पुरुष,३२ वर्ष,Not Started
achham2,अछाम - २,यज्ञबहादुर बोगटी,नेकपा एमाले,"१,५३९",पुरुष,५० वर्ष,Leading
achham2,अछाम - २,पुष्पबहादुर शाह,नेपाली कांग्रेस,"१,०५९",पुरुष,६४ वर्ष,Counting Ongoing
achham2,अछाम - २,भूपदेव शाह,राष्ट्रिय स्वतन्त्र पार्टी,७४३,पुरुष,३० वर्ष,Counting Ongoing
achham2,अछाम - २,बलबहादुर कुँवर,नेपाली कम्युनिस्ट पार्टी,३१४,पुरुष,६४ वर्ष,Counting Ongoing
achham2,अछाम - २,शेरबहादुर विक,नेपाल कम्युनिस्ट पार्टी (माओवादी),३८,पुरुष,४२ वर्ष,Counting Ongoing
achham2,अछाम - २,मीनबहादुर शाही,राष्ट्रिय प्रजातन्त्र पार्टी,0,पुरुष,५२ वर्ष,Not Started
achham2,अछाम - २,झंकरबहादुर शाही,नेपाल मजदुर किसान पार्टी,0,पुरुष,४४ वर्ष,Not Started
achham2,अछाम - २,पुष्पराज न्यौपाने,प्रगतिशील लोकतान्त्रिक पार्टी,0,पुरुष,४३ वर्ष,Not Started
achham2,अछाम - २,राजेश रावल,उज्यालो नेपाल पार्टी,0,पुरुष,२८ वर्ष,Not Started
arghakhanchi1,अर्घाखाँची - १,हरिप्रसाद भुसाल,राष्ट्रिय स्वतन्त्र पार्टी,"१२,०८१",पुरुष,३७ वर्ष,Leading
arghakhanchi1,अर्घाखाँची - १,पीताम्बर भुसाल,नेकपा एमाले,"६,८९२",पुरुष,५४ वर्ष,Counting Ongoing
arghakhanchi1,अर्घाखाँची - १,विष्णुप्रसाद खनाल,नेपाली कांग्रेस,"६,३३६",पुरुष,५६ वर्ष,Counting Ongoing
arghakhanchi1,अर्घाखाँची - १,रामबहादुर चौहान,नेपाली कम्युनिस्ट पार्टी,"१,३२२",पुरुष,५६ वर्ष,Counting Ongoing
arghakhanchi1,अर्घाखाँची - १,पशुपतिनाथ ढकाल,राष्ट्रिय जनमोर्चा,३३५,पुरुष,७१ वर्ष,Counting Ongoing
arghakhanchi1,अर्घाखाँची - १,झवीन्द्र फुल्लेल,राष्ट्रिय प्रजातन्त्र पार्टी,८५,पुरुष,४६ वर्ष,Counting Ongoing
arghakhanchi1,अर्घाखाँची - १,पुस्करनाथ आचार्य,प्रगतिशील लोकतान्त्रिक पार्टी,0,पुरुष,४९ वर्ष,Not Started
arghakhanchi1,अर्घाखाँची - १,सूर्यबहादुर गुरुङ,मंगोल नेशनल अर्गनाइजेसन,0,पुरुष,४४ वर्ष,Not Started
arghakhanchi1,अर्घाखाँची - १,विष्णुबहादुर गाहा,नेशनल रिपब्लिक नेपाल,0,पुरुष,५० वर्ष,Not Started
arghakhanchi1,अर्घाखाँची - १,खिमबहादुर घर्ती मगर,नेपाल कम्युनिस्ट पार्टी (माओवादी),0,पुरुष,४४ वर्ष,Not Started
arghakhanchi1,अर्घाखाँची - १,टुकबहादुर चेवाली,जनता समाजवादी पार्टी,0,पुरुष,५८ वर्ष,Not Started
arghakhanchi1,अर्घाखाँची - १,दुर्गबहादुर भाट क्षेत्री,आम जनता पार्टी,0,पुरुष,५४ वर्ष,Not Started
arghakhanchi1,अर्घाखाँची - १,पम्फा श्रेष्ठ,स्वतन्त्र,0,महिला,३१ वर्ष,Not Started
arghakhanchi1,अर्घाखाँची - १,रवि शाह,स्वतन्त्र,0,पुरुष,४९ वर्ष,Not Started
arghakhanchi1,अर्घाखाँची - १,हिमाल भुसाल,स्वतन्त्र,0,पुरुष,३८ वर्ष,Not Started
illam1,इलाम - १,निश्कल राई,नेपाली कांग्रेस,८४३,पुरुष,३५ वर्ष,Leading
illam1,इलाम - १,काजीमान कागते,नेकपा एमाले,५६९,पुरुष,६४ वर्ष,Counting Ongoing
illam1,इलाम - १,विमल गदाल,राष्ट्रिय स्वतन्त्र पार्टी,४३५,पुरुष,५४ वर्ष,Counting Ongoing
illam1,इलाम - १,विनोद नेम्बाङ्ग लिम्बु,श्रम संस्कृति पार्टी,३२६,पुरुष,३७ वर्ष,Counting Ongoing
illam1,इलाम - १,रनबहादुर राई,नेपाली कम्युनिस्ट पार्टी,१७२,पुरुष,५४ वर्ष,Counting Ongoing
illam1,इलाम - १,ज्वाला नेपाल,राष्ट्रिय प्रजातन्त्र पार्टी,0,महिला,३५ वर्ष,Not Started
illam1,इलाम - १,तुल्सी केशरी प्रजापति (छुंजु),नेपाल मजदुर किसान पार्टी,0,महिला,५१ वर्ष,Not Started
illam1,इलाम - १,बुद्धलाल मेचे,मंगोल नेशनल अर्गनाइजेसन,0,पुरुष,५५ वर्ष,Not Started
illam1,इलाम - १,डम्बर सिंह लिम्बू,नेपाल जनमुक्ति पार्टी,0,पुरुष,६८ वर्ष,Not Started
illam1,इलाम - १,रामप्रसाद लिम्बू,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,0,पुरुष,६३ वर्ष,Not Started
illam1,इलाम - १,नारदमणी साङपाङ्ग,नेपाल कम्युनिस्ट पार्टी (माओवादी),0,पुरुष,६४ वर्ष,Not Started
illam1,इलाम - १,हरिबहादुर गुरुङ,उज्यालो नेपाल पार्टी,0,पुरुष,४५ वर्ष,Not Started
illam1,इलाम - १,लिलाबहादुर सुनुवार,जनता समाजवादी पार्टी,0,पुरुष,५८ वर्ष,Not Started
illam2,इलाम २,सुदीप राई,श्रम संस्कृति पार्टी,"२,९०७",पुरुष,३७ वर्ष,Leading
illam2,इलाम २,सुहाङ नेम्बाङ,नेकपा एमाले,"२,४७८",पुरुष,३६ वर्ष,Counting Ongoing
illam2,इलाम २,भेषराज आचार्य,नेपाली कांग्रेस,"१,२३०",पुरुष,६१ वर्ष,Counting Ongoing
illam2,इलाम २,गोकुलबहादुर राई,राष्ट्रिय स्वतन्त्र पार्टी,९२०,पुरुष,३२ वर्ष,Counting Ongoing
illam2,इलाम २,ओमबहादुर गुरुङ्ग,नेपाली कम्युनिस्ट पार्टी,२१४,पुरुष,४७ वर्ष,Counting Ongoing
illam2,इलाम २,गणेशप्रसाद दुलाल,राष्ट्रिय प्रजातन्त्र पार्टी,0,पुरुष,६४ वर्ष,Not Started
illam2,इलाम २,श्यामबहादुर लिम्बू,मंगोल नेशनल अर्गनाइजेसन,0,पुरुष,३९ वर्ष,Not Started
illam2,इलाम २,यामबहादुर लिम्बू,नेपाल जनमुक्ति पार्टी,0,पुरुष,४९ वर्ष,Not Started
illam2,इलाम २,दिवस राई,राष्ट्रिय परिवर्तन पार्टी,0,पुरुष,३७ वर्ष,Not Started
illam2,इलाम २,सादर सिं लिङदेन (लिम्बू),संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,0,पुरुष,४९ वर्ष,Not Started
illam2,इलाम २,होमप्रसाद खतिवडा,नेपाल कम्युनिस्ट पार्टी (माओवादी),0,पुरुष,६८ वर्ष,Not Started
illam2,इलाम २,पवित्रा लिम्बू तुम्वाङफे,राष्ट्रिय जनमुक्ति पार्टी,0,महिला,५१ वर्ष,Not Started
illam2,इलाम २,बल बहादुर आङदेम्बे,जनता समाजवादी पार्टी,0,पुरुष,६४ वर्ष,Not Started
illam2,इलाम २,डाकप्रसाद गौतम,स्वतन्त्र,0,पुरुष,५८ वर्ष,Not Started
udayaur1,उदयपुर - १,पारशमणि गेलाल,राष्ट्रिय स्वतन्त्र पार्टी,"३,४६१",पुरुष,४० वर्ष,Leading
udayaur1,उदयपुर - १,राजेशकुमार राई,श्रम संस्कृति पार्टी,"१,८९९",पुरुष,४३ वर्ष,Counting Ongoing
udayaur1,उदयपुर - १,दुर्गाकुमार थापा,नेकपा एमाले,"१,५७५",पुरुष,६० वर्ष,Counting Ongoing
udayaur1,उदयपुर - १,बलदेव चौधरी,नेपाली कम्युनिस्ट पार्टी,"१,२४१",पुरुष,५७ वर्ष,Counting Ongoing
udayaur1,उदयपुर - १,विदुर बस्नेत,नेपाली कांग्रेस,"१,१८०",पुरुष,६९ वर्ष,Counting Ongoing
udayaur1,उदयपुर - १,सुभासचन्द्र खड्का,राष्ट्रिय प्रजातन्त्र पार्टी,0,पुरुष,४५ वर्ष,Not Started
udayaur1,उदयपुर - १,विष्‍णुबहादुर खत्री,नेपाल मजदुर किसान पार्टी,0,पुरुष,४७ वर्ष,Not Started
udayaur1,उदयपुर - १,लिलकुमार राई,राष्ट्रिय जनमोर्चा,0,पुरुष,४७ वर्ष,Not Started
udayaur1,उदयपुर - १,बद्रीविक्रम राई,मंगोल नेशनल अर्गनाइजेसन,0,पुरुष,४७ वर्ष,Not Started
udayaur1,उदयपुर - १,सुरेश राई,संयुक्त नागरिक पार्टी,0,पुरुष,५४ वर्ष,Not Started
udayaur1,उदयपुर - १,गोकर्ण राई,नेपाल जनमुक्ति पार्टी,0,पुरुष,६३ वर्ष,Not Started
udayaur1,उदयपुर - १,अमृतबहादुर खत्री,नेपाल कम्युनिस्ट पार्टी (माओवादी),0,पुरुष,४३ वर्ष,Not Started
udayaur1,उदयपुर - १,अर्जुन तामाङ,उज्यालो नेपाल पार्टी,0,पुरुष,६१ वर्ष,Not Started
udayaur1,उदयपुर - १,कुशेश्वर चौधरी,नेपाली जनता दल,0,पुरुष,४५ वर्ष,Not Started
udayaur1,उदयपुर - १,गणेशकुमार राई,जनता समाजवादी पार्टी,0,पुरुष,५३ वर्ष,Not Started
udayaur1,उदयपुर - १,मनोजकुमार पौडेल,आम जनता पार्टी,0,पुरुष,४४ वर्ष,Not Started
udayaur1,उदयपुर - १,प्रशान्तकुमार राई,"नागरिक सर्वोच्चता पार्टी, नेपाल",0,पुरुष,५९ वर्ष,Not Started
udayaur1,उदयपुर - १,देवराज रोका,स्वतन्त्र,0,पुरुष,५३ वर्ष,Not Started
udayaur2,उदयपुर - २,बलराज राई,श्रम संस्कृति पार्टी,९७७,पुरुष,४१ वर्ष,Leading
udayaur2,उदयपुर - २,अम्बरबहादुर रायमाझी,नेकपा एमाले,६१८,पुरुष,५६ वर्ष,Counting Ongoing
udayaur2,उदयपुर - २,सुरेशकुमार राई,नेपाली कम्युनिस्ट पार्टी,५१८,पुरुष,५० वर्ष,Counting Ongoing
