ID,Constituency,name,name_english
achham1,अछाम - १,भीमबहादुर रावल,Bhim Bahadur Rawal
achham1,अछाम - १,दिपक बहादुर साउंद,Dipaka Bahadura Saumd
achham1,अछाम - १,भरतकुमार स्वार,Bharatakumara Svar
achham1,अछाम - १,ओमप्रकाश रावल,Omaprakasha Raval
achham1,अछाम - १,लोकेन्द्रबहादुर शाह,Lokendrabahadura Shah
achham1,अछाम - १,सुरेन्द्र शाही,Surendra Shahi
achham1,अछाम - १,लोकेन्द्र बहादुर शाही,Lokendra Bahadura Shahi
achham1,अछाम - १,भीमबहादुर कुँवर,Bhimabahadura Ku.Nvar
achham2,अछाम - २,यज्ञबहादुर बोगटी,Yajnabahadura Bogati
achham2,अछाम - २,पुष्पबहादुर शाह,Pushpabahadura Shah
achham2,अछाम - २,भूपदेव शाह,Bhupadeva Shah
achham2,अछाम - २,बलबहादुर कुँवर,Balabahadura Ku.Nvar
achham2,अछाम - २,शेरबहादुर विक,Sherabahadura Vik
achham2,अछाम - २,मीनबहादुर शाही,Minabahadura Shahi
achham2,अछाम - २,झंकरबहादुर शाही,Jhamkarabahadura Shahi
achham2,अछाम - २,पुष्पराज न्यौपाने,Pushparaja Nyaupane
achham2,अछाम - २,राजेश रावल,Rajesha Raval
arghakhanchi1,अर्घाखाँची - १,हरिप्रसाद भुसाल,Hariprasada Bhusal
arghakhanchi1,अर्घाखाँची - १,पीताम्बर भुसाल,Pitambara Bhusal
arghakhanchi1,अर्घाखाँची - १,विष्णुप्रसाद खनाल,Vishnuprasada Khanal
arghakhanchi1,अर्घाखाँची - १,रामबहादुर चौहान,Ramabahadura Chauhan
arghakhanchi1,अर्घाखाँची - १,पशुपतिनाथ ढकाल,Pashupatinatha Dhakal
arghakhanchi1,अर्घाखाँची - १,झवीन्द्र फुल्लेल,Jhavindra Phullel
arghakhanchi1,अर्घाखाँची - १,पुस्करनाथ आचार्य,Puskaranatha Achary
arghakhanchi1,अर्घाखाँची - १,सूर्यबहादुर गुरुङ,Suryabahadura Gurun
arghakhanchi1,अर्घाखाँची - १,विष्णुबहादुर गाहा,Vishnubahadura Gah
arghakhanchi1,अर्घाखाँची - १,खिमबहादुर घर्ती मगर,Khimabahadura Gharti Magar
arghakhanchi1,अर्घाखाँची - १,टुकबहादुर चेवाली,Tukabahadura Chevali
arghakhanchi1,अर्घाखाँची - १,दुर्गबहादुर भाट क्षेत्री,Durgabahadura Bhata Kshetri
arghakhanchi1,अर्घाखाँची - १,पम्फा श्रेष्ठ,Pampha Shreshth
arghakhanchi1,अर्घाखाँची - १,रवि शाह,Ravi Shah
arghakhanchi1,अर्घाखाँची - १,हिमाल भुसाल,Himala Bhusal
illam1,इलाम - १,निश्कल राई,Nishkala Rai
illam1,इलाम - १,काजीमान कागते,Kajimana Kagate
illam1,इलाम - १,विमल गदाल,Vimala Gadal
illam1,इलाम - १,विनोद नेम्बाङ्ग लिम्बु,Vinoda Nembanga Limbu
illam1,इलाम - १,रनबहादुर राई,Ranabahadura Rai
illam1,इलाम - १,ज्वाला नेपाल,Jvala Nepal
illam1,इलाम - १,तुल्सी केशरी प्रजापति (छुंजु),Tulsi Keshari Prajapati (Chumju)
illam1,इलाम - १,बुद्धलाल मेचे,Buddhalala Meche
illam1,इलाम - १,डम्बर सिंह लिम्बू,Dambara Simha Limbu
illam1,इलाम - १,रामप्रसाद लिम्बू,Ramaprasada Limbu
illam1,इलाम - १,नारदमणी साङपाङ्ग,Naradamani Sanapang
illam1,इलाम - १,हरिबहादुर गुरुङ,Haribahadura Gurun
illam1,इलाम - १,लिलाबहादुर सुनुवार,Lilabahadura Sunuvar
illam2,इलाम २,सुदीप राई,Sudipa Rai
illam2,इलाम २,सुहाङ नेम्बाङ,Suhana Nemban
illam2,इलाम २,भेषराज आचार्य,Bhesharaja Achary
illam2,इलाम २,गोकुलबहादुर राई,Gokulabahadura Rai
illam2,इलाम २,ओमबहादुर गुरुङ्ग,Omabahadura Gurung
illam2,इलाम २,गणेशप्रसाद दुलाल,Ganeshaprasada Dulal
illam2,इलाम २,श्यामबहादुर लिम्बू,Shyamabahadura Limbu
illam2,इलाम २,यामबहादुर लिम्बू,Yamabahadura Limbu
illam2,इलाम २,दिवस राई,Divasa Rai
illam2,इलाम २,सादर सिं लिङदेन (लिम्बू),Sadara Sim Linadena (Limbu)
illam2,इलाम २,होमप्रसाद खतिवडा,Homaprasada Khativad
illam2,इलाम २,पवित्रा लिम्बू तुम्वाङफे,Pavitra Limbu Tumvanaphe
illam2,इलाम २,बल बहादुर आङदेम्बे,Bala Bahadura Anadembe
illam2,इलाम २,डाकप्रसाद गौतम,Dakaprasada Gautam
udayaur1,उदयपुर - १,पारशमणि गेलाल,Parashamani Gelal
udayaur1,उदयपुर - १,राजेशकुमार राई,Rajeshakumara Rai
udayaur1,उदयपुर - १,दुर्गाकुमार थापा,Durgakumara Thap
udayaur1,उदयपुर - १,बलदेव चौधरी,Baladeva Chaudhari
udayaur1,उदयपुर - १,विदुर बस्नेत,Vidura Basnet
udayaur1,उदयपुर - १,सुभासचन्द्र खड्का,Subhasachandra Khadk
udayaur1,उदयपुर - १,विष्‍णुबहादुर खत्री,Vishnubahadura Khatri
udayaur1,उदयपुर - १,लिलकुमार राई,Lilakumara Rai
udayaur1,उदयपुर - १,बद्रीविक्रम राई,Badrivikrama Rai
udayaur1,उदयपुर - १,सुरेश राई,Suresha Rai
udayaur1,उदयपुर - १,गोकर्ण राई,Gokarna Rai
udayaur1,उदयपुर - १,अमृतबहादुर खत्री,Amrritabahadura Khatri
udayaur1,उदयपुर - १,अर्जुन तामाङ,Arjuna Taman
udayaur1,उदयपुर - १,कुशेश्वर चौधरी,Kusheshvara Chaudhari
udayaur1,उदयपुर - १,गणेशकुमार राई,Ganeshakumara Rai
udayaur1,उदयपुर - १,मनोजकुमार पौडेल,Manojakumara Paudel
udayaur1,उदयपुर - १,प्रशान्तकुमार राई,Prashantakumara Rai
udayaur1,उदयपुर - १,देवराज रोका,Devaraja Rok
udayaur2,उदयपुर - २,बलराज राई,Balaraja Rai
udayaur2,उदयपुर - २,अम्बरबहादुर रायमाझी,Ambarabahadura Rayamajhi
udayaur2,उदयपुर - २,सुरेशकुमार राई,Sureshakumara Rai
udayaur2,उदयपुर - २,सूर्यबहादुर तामाङ्ग,Suryabahadura Tamang
udayaur2,उदयपुर - २,रामकुमार राई,Ramakumara Rai
udayaur2,उदयपुर - २,विष्णुबहादुर खड्का,Vishnubahadura Khadk
udayaur2,उदयपुर - २,पूर्णबहादुर बुढाथोकी,Purnabahadura Budhathoki
udayaur2,उदयपुर - २,भाष्कर राई,Bhashkara Rai
udayaur2,उदयपुर - २,अरुण राई,Aruna Rai
udayaur2,उदयपुर - २,दुर्गाबहादुर तामाङ्ग,Durgabahadura Tamang
udayaur2,उदयपुर - २,केशवबहादुर मगर,Keshavabahadura Magar
udayaur2,उदयपुर - २,बमबहादुर मगर,Bamabahadura Magar
